V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
11,244,0.1064,0.0851,0.0851,-0.5182978723404256,-0.6874747474747475,-0.3764705882352941,141,0
12,245,0.2832,0.0789,0.0573,-1.04328125,-0.14942084942084943,0.5998785425101214,279,0
12,246,0.2167,0.1527,0.197,-0.5085106382978724,-0.48826315789473684,-0.2140223463687151,203,0
12,247,0.3216,0.1231,0.1407,-1.1306925207756233,-0.6864931506849314,-0.028407821229050285,398,0
12,248,0.2233,0.11,0.0667,-0.7234099616858237,-0.42814545454545455,0.15245901639344264,300,0
12,249,0.3631,0.1762,0.0976,-1.0566379310344827,-0.6970165745856354,-0.04026627218934912,369,0
12,252,0.2768,0.1161,0.1027,-0.6275,-0.20651960784313722,0.2543684210526316,224,0
12,253,0.2248,0.2215,0.1564,-0.9625342465753425,-1.050810810810811,-0.6020138888888888,307,0
12,255,0.2986,0.0769,0.1041,-0.9340476190476191,-0.26393518518518516,0.21526829268292685,221,0
12,257,0.1634,0.1584,0.1584,-0.4475661375661376,-0.655958549222798,-0.32133333333333336,202,0
12,258,0.1236,0.0936,0.0712,-0.4982170542635659,-0.44306513409961684,-0.06106557377049181,267,0
12,260,0.2283,0.1507,0.1233,-0.46797101449275363,-0.5990952380952381,-0.34160804020100505,219,0
12,801,0.2107,0.0826,0.0702,-0.9124285714285714,-0.38843317972350233,0.17,242,0
12,802,0.2477,0.1355,0.0888,-0.7397969543147208,-0.36766169154228856,0.26518134715025904,214,0
